γ,n,cFrac,gappingPolicy,τσParam,reward,seed
0.2,3,0.05,true,0.03,0.41741595,1
0.2,3,0.05,false,0.07,0.42067233,1
0.2,3,0.1,true,0.05,0.38713732,1
0.2,3,0.1,false,0.1,0.3907935,1
0.2,3,0.15,true,0.06,0.36479706,1
0.2,3,0.15,false,0.13,0.36849546,1
0.2,3,0.2,true,0.09,0.34550083,1
0.2,3,0.2,false,0.16,0.34779137,1
0.2,3,0.25,true,0.09,0.330087,1
0.2,3,0.25,false,0.19,0.3332413,1
0.2,3,0.3,true,0.09,0.31467322,1
0.2,3,0.3,false,0.19,0.3177693,1
0.2,3,0.35,true,0.12,0.30116117,1
0.2,3,0.35,false,0.19,0.3022973,1
0.2,3,0.4,true,0.14,0.2898054,1
0.2,3,0.4,false,0.27,0.288342,1
0.2,3,0.45,true,0.14,0.279035,1
0.2,3,0.45,false,0.32,0.27754313,1
0.2,3,0.5,true,0.14,0.2682646,1
0.2,3,0.5,false,0.33,0.26850542,1
0.2,3,0.55,true,0.2,0.25997347,1
0.2,3,0.55,false,0.33,0.25862762,1
0.2,3,0.6,true,0.2,0.25195527,1
0.2,3,0.6,false,0.33,0.24874981,1
0.2,3,0.65,true,0.2,0.24393708,1
0.2,3,0.65,false,0.41,0.24003014,1
0.2,3,0.7,true,0.25,0.23624323,1
0.2,3,0.7,false,0.41,0.23179334,1
0.2,3,0.75,true,0.25,0.22958782,1
0.2,3,0.75,false,0.56,0.22697057,1
0.2,3,0.8,true,0.26,0.22295962,1
0.2,3,0.8,false,0.6,0.22170886,1
0.2,3,0.85,true,0.26,0.21650983,1
0.2,3,0.85,false,0.64,0.2160986,1
0.2,3,0.9,true,0.58,0.2118912,1
0.2,3,0.9,false,0.64,0.2105252,1
0.2,3,0.95,true,0.58,0.20872541,1
0.2,3,0.95,false,0.93,0.2066284,1
0.2,4,0.05,true,0.02,0.5013576,1
0.2,4,0.05,false,0.07,0.50223917,1
0.2,4,0.1,true,0.03,0.46140748,1
0.2,4,0.1,false,0.1,0.46306428,1
0.2,4,0.15,true,0.04,0.43109062,1
0.2,4,0.15,false,0.13,0.43166864,1
0.2,4,0.2,true,0.05,0.4044873,1
0.2,4,0.2,false,0.15,0.4056558,1
0.2,4,0.25,true,0.06,0.38162336,1
0.2,4,0.25,false,0.19,0.38246772,1
0.2,4,0.3,true,0.07,0.36220017,1
0.2,4,0.3,false,0.22,0.36192697,1
0.2,4,0.35,true,0.07,0.34423918,1
0.2,4,0.35,false,0.22,0.34294617,1
0.2,4,0.4,true,0.09,0.32799324,1
0.2,4,0.4,false,0.26,0.32494515,1
0.2,4,0.45,true,0.09,0.31316546,1
0.2,4,0.45,false,0.31,0.3097427,1
0.2,4,0.5,true,0.1,0.29842314,1
0.2,4,0.5,false,0.31,0.2951527,1
0.2,4,0.55,true,0.1,0.28471133,1
0.2,4,0.55,false,0.39,0.28073093,1
0.2,4,0.6,true,0.14,0.2714214,1
0.2,4,0.6,false,0.4,0.26874787,1
0.2,4,0.65,true,0.14,0.2608326,1
0.2,4,0.65,false,0.4,0.25681525,1
0.2,4,0.7,true,0.14,0.2502438,1
0.2,4,0.7,false,0.4,0.24488267,1
0.2,4,0.75,true,0.2,0.24023913,1
0.2,4,0.75,false,0.5,0.23434506,1
0.2,4,0.8,true,0.2,0.23226994,1
0.2,4,0.8,false,0.57,0.22453423,1
0.2,4,0.85,true,0.2,0.22430074,1
0.2,4,0.85,false,0.65,0.21694165,1
0.2,4,0.9,true,0.2,0.21633154,1
0.2,4,0.9,false,0.74,0.20932512,1
0.2,4,0.95,true,0.71,0.20887375,1
0.2,4,0.95,false,0.95,0.20558918,1
0.2,5,0.05,true,0.02,0.5625174,1
0.2,5,0.05,false,0.07,0.57251257,1
0.2,5,0.1,true,0.02,0.5188726,1
0.2,5,0.1,false,0.1,0.52637935,1
0.2,5,0.15,true,0.03,0.48156238,1
0.2,5,0.15,false,0.14,0.49049145,1
0.2,5,0.2,true,0.04,0.4505837,1
0.2,5,0.2,false,0.14,0.45848384,1
0.2,5,0.25,true,0.04,0.4246229,1
0.2,5,0.25,false,0.17,0.42901975,1
0.2,5,0.3,true,0.05,0.39893267,1
0.2,5,0.3,false,0.21,0.40461576,1
0.2,5,0.35,true,0.05,0.37676525,1
0.2,5,0.35,false,0.26,0.38091323,1
0.2,5,0.4,true,0.06,0.35683596,1
0.2,5,0.4,false,0.26,0.36018223,1
0.2,5,0.45,true,0.06,0.33736417,1
0.2,5,0.45,false,0.3,0.3402594,1
0.2,5,0.5,true,0.07,0.31870133,1
0.2,5,0.5,false,0.3,0.3215394,1
0.2,5,0.55,true,0.07,0.3012045,1
0.2,5,0.55,false,0.3,0.3028194,1
0.2,5,0.6,true,0.09,0.28627,1
0.2,5,0.6,false,0.37,0.28540316,1
0.2,5,0.65,true,0.1,0.27221704,1
0.2,5,0.65,false,0.4,0.26967654,1
0.2,5,0.7,true,0.11,0.2588536,1
0.2,5,0.7,false,0.5,0.25514844,1
0.2,5,0.75,true,0.12,0.24671845,1
0.2,5,0.75,false,0.5,0.24237025,1
0.2,5,0.8,true,0.14,0.23609316,1
0.2,5,0.8,false,0.57,0.22998421,1
0.2,5,0.85,true,0.24,0.22563748,1
0.2,5,0.85,false,0.72,0.22210029,1
0.2,5,0.9,true,0.24,0.21877368,1
0.2,5,0.9,false,0.73,0.2127459,1
0.2,5,0.95,true,0.24,0.21190988,1
0.2,5,0.95,false,0.75,0.20356654,1
0.2,6,0.05,true,0.01,0.62184066,1
0.2,6,0.05,false,0.07,0.63639724,1
0.2,6,0.1,true,0.02,0.56822896,1
0.2,6,0.1,false,0.09,0.58531916,1
0.2,6,0.15,true,0.02,0.5283878,1
0.2,6,0.15,false,0.12,0.54479575,1
0.2,6,0.2,true,0.03,0.4918244,1
0.2,6,0.2,false,0.16,0.5088698,1
0.2,6,0.25,true,0.03,0.4617332,1
0.2,6,0.25,false,0.17,0.476341,1
0.2,6,0.3,true,0.04,0.4330877,1
0.2,6,0.3,false,0.21,0.44674638,1
0.2,6,0.35,true,0.04,0.4082837,1
0.2,6,0.35,false,0.23,0.41920865,1
0.2,6,0.4,true,0.05,0.38466814,1
0.2,6,0.4,false,0.27,0.39448974,1
0.2,6,0.45,true,0.05,0.36328775,1
0.2,6,0.45,false,0.29,0.37112984,1
0.2,6,0.5,true,0.05,0.34190735,1
0.2,6,0.5,false,0.34,0.34966192,1
0.2,6,0.55,true,0.06,0.3220842,1
0.2,6,0.55,false,0.34,0.32950732,1
0.2,6,0.6,true,0.07,0.30411544,1
0.2,6,0.6,false,0.38,0.30950397,1
0.2,6,0.65,true,0.09,0.28841498,1
0.2,6,0.65,false,0.38,0.29083556,1
0.2,6,0.7,true,0.09,0.2740186,1
0.2,6,0.7,false,0.4,0.27267876,1
0.2,6,0.75,true,0.09,0.2596222,1
0.2,6,0.75,false,0.52,0.25738698,1
0.2,6,0.8,true,0.1,0.24552521,1
0.2,6,0.8,false,0.52,0.24253337,1
0.2,6,0.85,true,0.15,0.23433179,1
0.2,6,0.85,false,0.67,0.22947766,1
0.2,6,0.9,true,0.15,0.22439119,1
0.2,6,0.9,false,0.67,0.21727225,1
0.2,6,0.95,true,0.15,0.21445058,1
0.2,6,0.95,false,1.0,0.20558818,1
0.2,7,0.05,true,0.01,0.6691519,1
0.2,7,0.05,false,0.07,0.68830866,1
0.2,7,0.1,true,0.01,0.60949427,1
0.2,7,0.1,false,0.09,0.63499314,1
0.2,7,0.15,true,0.02,0.56864005,1
0.2,7,0.15,false,0.12,0.590323,1
0.2,7,0.2,true,0.02,0.5316961,1
0.2,7,0.2,false,0.16,0.551753,1
0.2,7,0.25,true,0.02,0.49475205,1
0.2,7,0.25,false,0.19,0.51620287,1
0.2,7,0.3,true,0.03,0.46495956,1
0.2,7,0.3,false,0.19,0.48371848,1
0.2,7,0.35,true,0.03,0.43631676,1
0.2,7,0.35,false,0.24,0.45219398,1
0.2,7,0.4,true,0.04,0.41061017,1
0.2,7,0.4,false,0.28,0.42506737,1
0.2,7,0.45,true,0.04,0.38666457,1
0.2,7,0.45,false,0.28,0.39937615,1
0.2,7,0.5,true,0.04,0.36271897,1
0.2,7,0.5,false,0.31,0.37468597,1
0.2,7,0.55,true,0.05,0.33946857,1
0.2,7,0.55,false,0.31,0.35048598,1
0.2,7,0.6,true,0.06,0.31966648,1
0.2,7,0.6,false,0.36,0.32810092,1
0.2,7,0.65,true,0.06,0.30100968,1
0.2,7,0.65,false,0.41,0.3074533,1
0.2,7,0.7,true,0.06,0.2823529,1
0.2,7,0.7,false,0.45,0.28761342,1
0.2,7,0.75,true,0.09,0.26434296,1
0.2,7,0.75,false,0.51,0.26947683,1
0.2,7,0.8,true,0.09,0.24998938,1
0.2,7,0.8,false,0.62,0.25344494,1
0.2,7,0.85,true,0.09,0.23563577,1
0.2,7,0.85,false,0.62,0.23833694,1
0.2,7,0.9,true,0.14,0.22376883,1
0.2,7,0.9,false,0.69,0.22377396,1
0.2,7,0.95,true,0.14,0.21328643,1
0.2,7,0.95,false,0.84,0.21297121,1
0.2,8,0.05,true,0.01,0.7035549,1
0.2,8,0.05,false,0.07,0.731086,1
0.2,8,0.1,true,0.01,0.64942074,1
0.2,8,0.1,false,0.1,0.67522424,1
0.2,8,0.15,true,0.01,0.59528655,1
0.2,8,0.15,false,0.14,0.62929547,1
0.2,8,0.2,true,0.02,0.5576589,1
0.2,8,0.2,false,0.16,0.5886718,1
0.2,8,0.25,true,0.02,0.52242714,1
0.2,8,0.25,false,0.16,0.550575,1
0.2,8,0.3,true,0.02,0.48719534,1
0.2,8,0.3,false,0.21,0.51480466,1
0.2,8,0.35,true,0.03,0.45559648,1
0.2,8,0.35,false,0.23,0.48232722,1
0.2,8,0.4,true,0.03,0.4277087,1
0.2,8,0.4,false,0.28,0.4522815,1
0.2,8,0.45,true,0.03,0.39982086,1
0.2,8,0.45,false,0.28,0.42417988,1
0.2,8,0.5,true,0.04,0.37364745,1
0.2,8,0.5,false,0.28,0.3960783,1
0.2,8,0.55,true,0.04,0.34998366,1
0.2,8,0.55,false,0.32,0.36893624,1
0.2,8,0.6,true,0.04,0.32631984,1
0.2,8,0.6,false,0.33,0.34327126,1
0.2,8,0.65,true,0.05,0.30347556,1
0.2,8,0.65,false,0.4,0.3199895,1
0.2,8,0.7,true,0.07,0.28388187,1
0.2,8,0.7,false,0.44,0.297573,1
0.2,8,0.75,true,0.08,0.26724926,1
0.2,8,0.75,false,0.54,0.27748805,1
0.2,8,0.8,true,0.08,0.25173107,1
0.2,8,0.8,false,0.57,0.25915578,1
0.2,8,0.85,true,0.11,0.2369559,1
0.2,8,0.85,false,0.66,0.24204323,1
0.2,8,0.9,true,0.11,0.2244635,1
0.2,8,0.9,false,0.74,0.22746947,1
0.2,8,0.95,true,0.11,0.21197109,1
0.2,8,0.95,false,0.94,0.21450959,1
0.4,3,0.05,true,0.06,0.7055128,1
0.4,3,0.05,false,0.13,0.7136365,1
0.4,3,0.1,true,0.08,0.6693905,1
0.4,3,0.1,false,0.21,0.6786808,1
0.4,3,0.15,true,0.11,0.64098537,1
0.4,3,0.15,false,0.28,0.6494768,1
0.4,3,0.2,true,0.14,0.6172115,1
0.4,3,0.2,false,0.29,0.6242129,1
0.4,3,0.25,true,0.14,0.5939539,1
0.4,3,0.25,false,0.39,0.6016217,1
0.4,3,0.3,true,0.2,0.5725318,1
0.4,3,0.3,false,0.4,0.58106726,1
0.4,3,0.35,true,0.23,0.55422705,1
0.4,3,0.35,false,0.43,0.560677,1
0.4,3,0.4,true,0.23,0.5371039,1
0.4,3,0.4,false,0.56,0.54238886,1
0.4,3,0.45,true,0.23,0.51998067,1
0.4,3,0.45,false,0.56,0.5256721,1
0.4,3,0.5,true,0.28,0.5037971,1
0.4,3,0.5,false,0.57,0.50911427,1
0.4,3,0.55,true,0.36,0.48919934,1
0.4,3,0.55,false,0.57,0.49256387,1
0.4,3,0.6,true,0.36,0.47618574,1
0.4,3,0.6,false,0.74,0.47716948,1
0.4,3,0.65,true,0.36,0.46317214,1
0.4,3,0.65,false,0.86,0.46575955,1
0.4,3,0.7,true,0.54,0.45126095,1
